algorithm,obstacle_density,congestion_level,success_rate,avg_steps,std_steps,avg_reward,std_reward,avg_computation_time,std_computation_time,avg_path_efficiency,std_path_efficiency,avg_collisions,std_collisions,num_episodes
proximity_based,0.1,low,0.6,205.2,96.16631426856287,2884.6413850120093,2609.6444547468614,0.012638092041015625,0.007027637903514343,0.08561986206425508,0.06234016047257964,127.4,101.47925896457856,10
proximity_based,0.1,high,0.5,219.6,101.40433915765144,1623.3505008471964,1195.3896930271828,0.017416763305664062,0.009668111150171998,0.09131342108329331,0.08962470933395685,106.9,67.78709316676738,10
proximity_based,0.25,low,0.4,220.6,99.34908152569906,2423.895175748229,1802.4455872427895,0.013331294059753418,0.006436004621256745,0.06599453967918413,0.028161031853168407,143.8,88.42714515351042,10
proximity_based,0.25,high,0.0,300.0,0.0,3330.143275508689,3835.857383023563,0.024881362915039062,0.008041293730572063,0.04833333333333333,0.0200138840697041,224.9,48.582815892041495,10
exponential_distance,0.1,low,0.7,223.3,74.68205942527295,-2381.5605782803023,1116.9765729855076,0.01335451602935791,0.005527505791173033,0.06388328445846636,0.023562001154036782,48.7,24.03767875648562,10
exponential_distance,0.1,high,0.2,246.4,107.33424430255239,-3444.3108916458673,1760.395888197693,0.02411680221557617,0.012466774532705492,0.08712121212121213,0.0724216114648282,112.9,96.16906987176283,10
exponential_distance,0.25,low,0.1,278.6,64.2,-3099.96299900431,1393.7526459495202,0.01575503349304199,0.0041707783245943635,0.05013953488372093,0.018429824578338833,127.3,83.0927794696988,10
exponential_distance,0.25,high,0.6,199.2,87.58059145724012,-3017.2830120297212,1685.8039709348384,0.018303799629211425,0.012700863026333045,0.07789439143387593,0.01485696482882464,52.3,65.98189145515607,10
