algorithm,obstacle_density,congestion_level,success_rate,avg_steps,std_steps,avg_reward,std_reward,avg_computation_time,std_computation_time,avg_path_efficiency,std_path_efficiency,avg_collisions,std_collisions,num_episodes
proximity_based,0.1,low,0.45,145.1,68.1079290538187,1772.4999589618528,1231.8352269114876,0.008061552047729492,0.0038249862141005375,0.13437424373197113,0.11263294191715414,75.15,54.40889173655351,20
proximity_based,0.1,high,0.7,127.05,60.65185487682961,914.0485157594179,1144.8188988746722,0.009765172004699707,0.004735350214732474,0.13593328679536626,0.09558471423388513,55.65,48.598636812157594,20
proximity_based,0.25,low,0.2,172.55,62.375055110196094,2223.4450430810707,2018.4549199425508,0.01743055582046509,0.035760657643470625,0.12249667774086379,0.20744365454513092,106.2,54.38161454021019,20
proximity_based,0.25,high,0.4,155.55,63.22220733255049,1517.6271940787358,1788.1477851809238,0.012579810619354249,0.006915669071883943,0.11274133262032555,0.08394613147777719,97.3,62.11046610676818,20
exponential_distance,0.1,low,0.3,186.05,29.471129941011764,-2087.1800024059494,849.6784361665307,0.011156940460205078,0.002924662127629749,0.07553050717008405,0.033572849114633305,47.9,37.939293614931735,20
exponential_distance,0.1,high,0.1,193.0,23.73815494093844,-2654.7667287126724,977.2400803992246,0.018127214908599854,0.007255762777016669,0.06649003189792663,0.02506289325597984,76.7,64.50899162132362,20
exponential_distance,0.25,low,0.05,191.8,35.74297133703353,-2180.3275009312374,753.0001409322182,0.011752438545227051,0.0033248687179401773,0.07122222222222221,0.03637069095430863,86.5,66.44057495235874,20
exponential_distance,0.25,high,0.1,195.25,19.587942719948924,-3016.95183721071,916.9846876337568,0.019337308406829835,0.005555060956093393,0.07474592074592074,0.026636799918012988,75.9,55.881929100559866,20
