algorithm,obstacle_density,congestion_level,success_rate,avg_steps,std_steps,avg_reward,std_reward,avg_computation_time,std_computation_time,avg_path_efficiency,std_path_efficiency,avg_collisions,std_collisions,num_episodes
proximity_based,0.1,low,0.45,159.1,64.78418016769217,2336.296263366462,1485.057784608254,0.008854329586029053,0.003712726216527217,0.12666201709576036,0.14797143610093627,97.95,53.630658209647216,20
proximity_based,0.1,high,0.8,114.2,59.56391525076235,983.767296337094,807.959852028133,0.009582316875457764,0.005337746409737236,0.1467229854036846,0.09920621946840831,51.8,41.851642739562806,20
proximity_based,0.25,low,0.25,159.6,71.05026389817282,2095.5034667705863,1688.8644957211839,0.009885668754577637,0.0050218733185748345,0.14247734858665112,0.16734784471990632,104.4,67.49844442651994,20
proximity_based,0.25,high,0.25,180.0,39.198214245039274,1126.540622073041,1542.8062074327497,0.01437687873840332,0.004990015666519664,0.07717872534046723,0.03400560139719849,97.25,60.3132448140539,20
exponential_distance,0.1,low,0.3,171.75,44.76815274277017,-1774.369290306436,725.7984386849929,0.009995853900909424,0.003099931286002973,0.07331188443672698,0.0339480054140506,44.05,34.936334953741216,20
exponential_distance,0.1,high,0.15,189.45,27.050831780187462,-2833.226274277048,864.7838446573351,0.016873264312744142,0.005892245826723325,0.05313704382467025,0.021973071259562903,44.55,22.918278731178745,20
exponential_distance,0.25,low,0.15,183.85,46.21934118959291,-1943.6846703602416,856.1523719221706,0.018640506267547607,0.03753524462580092,0.07156406376739252,0.037569460033346824,84.85,62.73059460901036,20
exponential_distance,0.25,high,0.05,197.0,13.076696830622021,-2964.6370407241207,768.7473923159962,0.018636393547058105,0.00546134981244155,0.08125000000000002,0.0330104150231408,95.15,59.10606990825901,20
